1,라이트 오버핏 브이넥 니트,https://m.playmartin.com/product/%EB%9D%BC%EC%9D%B4%ED%8A%B8-%EC%98%A4%EB%B2%84%ED%95%8F-%EB%B8%8C%EC%9D%B4%EB%84%A5-%EB%8B%88%ED%8A%B8-12color/9476/category/59/display/1/,/상품/1.png,/모델/1.png,남성,"파랑,검정,노랑,갈색,분홍,회색,빨강",상의,"봄,가을",보세,23800,"남색,먹색,베이지,올리브,크림,루즈핏,니트,브이넥","데이트,대학생,캠퍼스",20,https://www.youtube.com/watch?v=nUC2SFdIde0&pp=ygUk65287J207Yq4IOyYpOuyhO2VjyDruIzsnbTrhKUg64uI7Yq4,https://m.blog.naver.com/nomnice1/221413118549,"옷잘알들이 좋아하는 ‘니트,가디건’ 추천 & 코디방법",남자 오버핏 브이넥 니트 코디 슬림핏 빈티지 청바지랑 코디해봅니다.,0
2,캐시미어 울 브랜드 오버핏 니트 코발트,https://www.musinsa.com/app/goods/2068532,/상품/2.png,/모델/2.png,남성,파랑,상의,"봄,가을",매드 마르스,110000,"코발트,오버핏니트,스웨터,라운드넥,오버핏,니트","소개팅,대학생",20,https://www.youtube.com/watch?v=jjeoLqLsq14&pp=ygU2IOy6kOyLnOuvuOyWtCDsmrgg67iU656c65OcIOyYpOuyhO2VjyDri4jtirhf7L2U67Cc7Yq4,https://m.blog.naver.com/PostView.naver?isHttpsRedirect=true&blogId=bj0203&logNo=220587631100,21fw 따끈한 신상?? 남자오버핏니트 5종 리뷰,남자 버튼 캐시미어 오버핏코드+시스템 니트+허라취 코디[유뱅의 데일리룩 블로그,0
3,너드 케이블니트 black,https://www.musinsa.com/app/goods/2862805,/상품/3.png,/모델/3.png,남성,검정,상의,"봄,가을",더블유엠씨,99000,"오버핏니트,스웨터,꽈배기니트,올블랙,니트,오버핏,꽈배기","꾸안꾸,소개팅",20,https://www.youtube.com/shorts/gEEQW4-Zm-o,https://m.blog.naver.com/jin900925/221785732120,남자 꽈배기 니트 코디법,남자 폴리니트 케이블니트(네이비) 코디 및 사이즈,0
4,에센셜 베이직 티셔츠 offwhite,https://www.musinsa.com/app/goods/538279,/상품/4.png,/모델/4.png,남성,하양,상의,"봄,가을",드로우핏,33000,"레이어드티,이너티셔츠,반팔,무지티,오버핏,기본템,레이어드,이너,무지","남친룩,데일리,미니멀",20,https://www.youtube.com/watch?v=7tooQ5phS3o&pp=ygUd7JeQ7IS87IWcIOuyoOydtOyngSDti7DshZTsuKA%3D,https://m.blog.naver.com/bestposter/222034424389,무조건 실패없는 기본 흰 티셔츠! 세탁기 막돌려도 끄떡없는 갓템은?,[티셔츠]드로우핏(DrawFit) 에센셜 베이직 티셔츠 리뷰,0
5,THE ORIGIN SWEAT SHIRTS navy,https://www.musinsa.com/app/goods/3095052,/상품/5.png,/모델/5.png,남성,파랑,상의,"봄,가을",에이카화이트,69000,"남색,오버핏,맨투맨,스웨트셔츠,스웨트,오버핏맨투맨","학생,캠퍼스,데일리,일상,대학생,고등학생,꾸안꾸,캐주얼",20,https://www.youtube.com/watch?v=SuHMLJK2Wls&pp=ygUqVEhFIE9SSUdJTiBTV0VBVCBTSElSVFMg7JeQ7J207Lm07ZmU7J207Yq4,https://m.blog.naver.com/7pbj27/221832757132,"에이카화이트,전국민 데일리웨어를 넘본다!",에이카화이트 FINEST COTTON SWEATSHIRT 리뷰,0
6,헤비 코튼 오버 럭비 맨투맨 Melange Gray,https://www.musinsa.com/app/goods/2038491,/상품/6.png,/모델/6.png,"남성,여성,공용,공용",회색,상의,"봄,가을",라퍼지스토어,45000,"럭비티,럭비티셔츠,맨투맨,오버핏,오버핏티셔츠,티셔츠,럭비","데이트,캐주얼,대학생,캠퍼스,남친룩",20,https://www.youtube.com/watch?v=Sij66-NKPP8&pp=ygUX65-t67mEIOunqO2IrOunqCDtmozsg4k%3D,https://blog.naver.com/PostView.nhn?blogId=gj0129&logNo=221914107684&redirect=Dlog&widgetTypeCall=true&directAccess=false,[코디 대결] 유행없이 계속 입는 럭비티 코디 참고하기,"[남자카라티]폴로럭비티 후기,사이즈 팁(feat. 유아인,류준열,피오) ",0
7,Longsleeve 무지 긴팔티 블랙,https://www.musinsa.com/app/goods/394608,/상품/7.png,/모델/7.png,남성,검정,상의,"봄,가을,겨울",꼼파뇨,56000,"레이어드,긴팔티,무지티,오버핏,오버핏긴팔티","꾸안꾸,미니멀,데일리,일상,산책,대학생,고등학생,캐주얼",20,https://www.youtube.com/watch?v=sUXm3Fw4Nsc&pp=ygUdIExvbmdzbGVldmUg66y07KeAIOq4tO2MlO2LsCA%3D,https://m.blog.naver.com/PostView.naver?isHttpsRedirect=true&blogId=bj0203&logNo=221234677417,가성비 롱슬리브 추천과 나한테 잘 맞는 긴팔티 사는 방법,긴팔티셔츠+슬랙스+남자 로퍼 코디[유뱅의 데일리룩 블로그],0
8,빅 어워드 스타디움 울 바시티자켓 블랙 ,https://www.musinsa.com/app/goods/2752332,/상품/8.png,/모델/8.png,"남성,여성,공용,공용",검정,상의,"봄,가을",레테르코모,105300,"바시티,오버핏자켓,바시티자켓,스타디움자켓,야구점퍼,울자켓,점퍼,자켓","데일리,일상,스포츠,대학생,캠퍼스,경기장,과잠,응원,간절기",20,https://www.youtube.com/watch?v=e2M0QBXV6F8&pp=ygU267mFIOyWtOybjOuTnCDsiqTtg4DrlJTsm4Ag7Jq4IOuwlOyLnO2LsOyekOy8kyDruJTrnpkg,https://m.blog.naver.com/viper6262/222646998624?isInf=true,이제 다시 시작이야! 지금부터 입을 신상 바시티 자켓 5종 리뷰,"벌스데이수트 바시티 자켓,스타디움 크롭한 기장이 매력적 ! ",0
9,오버락 올라운드 가디건 (Marine.Blue),https://www.musinsa.com/app/goods/2768648,/상품/9.png,/모델/9.png,남성,파랑,상의,"봄,가을",자니웨스트,42000,"니트가디건,가디건,오버핏,오버핏가디건,오버핏니트가디건","데이트,꾸안꾸,대학생,캠퍼스,소개팅,댄디,깔끔,남친룩,미니멀",20,https://www.youtube.com/watch?v=CmX8PKsDQic&pp=ygUQ6rCA65SU6rG0IOy9lOuUlA%3D%3D,https://m.blog.naver.com/mcteens/221793695236,가디건 코디 추천 7가지,남자 가디건 코디 곧 다가올 봄을 위해!,0
10,90S 트랙 스웨트셔츠_그레이,https://www.musinsa.com/app/goods/2313388,/상품/10.png,/모델/10.png,"남성,여성,공용,공용",회색,상의,"봄,가을",1993스튜디오,85000,"스웨트셔츠,맨투맨,트랙,브이넥,Y2K,90s,스웨트,브이넥맨투맨,브이넥스웨트","꾸안꾸,캐주얼,데일리,일상,대학생,캠퍼스",20,https://www.youtube.com/watch?v=KboHK_KGrjg&pp=ygUlIDkwUyDtirjrnpkg7Iqk7Juo7Yq47IWU7LigX-q3uOugiOydtA%3D%3D,https://m.blog.naver.com/wlgus_xldk/222903432401,?? 내가 제일 사랑하는 90년대 스타일! ?? 이번년에 무조건 유행함 ??,겨울을 따뜻하게 할 맨투맨 뭐가있을까?,0
11,(23SS) 2 TONE ARCH HOODIE GRAY,https://www.musinsa.com/app/goods/2326935,/상품/11.png,/모델/11.png,"남성,여성,공용",회색,상의,"봄,가을",예일,79000,"예일,오버핏,오버핏후드,후드티,후드,빅포켓,포켓,주머니,오버핏후드티","캠퍼스,대학생,캐주얼,일상,레트로",20,https://www.youtube.com/watch?v=gdZfJx24gl0&pp=ygUYIDIgVE9ORSBBUkNIIEhPT0RJRSBHUkFZ,https://m.blog.naver.com/simjae0013/222167322218,"남자 오버핏 후드티 4종 추천 / 나이키,아디다스,디스이즈네버댓,예일 후드티",예일(YALE) 2 tone arch hoodie gray 후기,0
12,[SS Ver.]헤비 코튼 오버 럭비 맨투맨_Midnight Blue,https://www.musinsa.com/app/goods/2038497,/상품/12.png,/모델/12.png,"남성,여성,공용",파랑,상의,"봄,가을",라퍼지스토어,45000,"럭비티,럭비티셔츠,맨투맨,오버핏,오버핏티셔츠,티셔츠,럭비","데이트,캐주얼,대학생,캠퍼스,남친룩",20,https://www.youtube.com/watch?v=Sij66-NKPP8&pp=ygUX65-t67mEIOunqO2IrOunqCDtmozsg4k%3D,https://blog.naver.com/PostView.nhn?blogId=gj0129&logNo=221914107684&redirect=Dlog&widgetTypeCall=true&directAccess=false,[코디 대결] 유행없이 계속 입는 럭비티 코디 참고하기,"[남자카라티]폴로럭비티 후기,사이즈 팁(feat. 유아인,류준열,피오) ",0
13,스몰 하트 럭비 맨투맨 [네이비],https://www.musinsa.com/app/goods/2836476,/상품/13.png,/모델/13.png,남성,파랑,상의,"봄,가을",랑주가망,68000,"남색,럭비티,맨투맨,스웨트셔츠,오버핏,빅포켓,포켓,주머니,카라,카라티,오버핏맨투맨","데이트,캐주얼,남친룩,꾸안꾸,대학생,소개팅,캠퍼스",20,https://www.youtube.com/watch?v=Sij66-NKPP8&pp=ygUX65-t67mEIOunqO2IrOunqCDtmozsg4k%3D,https://blog.naver.com/PostView.nhn?blogId=gj0129&logNo=221914107684&redirect=Dlog&widgetTypeCall=true&directAccess=false,[코디 대결] 유행없이 계속 입는 럭비티 코디 참고하기,"[남자카라티]폴로럭비티 후기,사이즈 팁(feat. 유아인,류준열,피오) ",0
14,액티비티 클럽 피그먼트 반팔티 크림 ,https://www.musinsa.com/app/goods/1899755,/상품/14.png,/모델/14.png,"남성,여성,공용",아이보리,상의,"봄,가을",트래블,39000,"크림,라운드티,그래픽,반팔티셔츠,오버핏,반팔티,프린팅,프린팅티,라운드,오버핏티셔츠,오버핏반팔티셔츠,오버핏반팔티","캐주얼,레트로,데일리,일상,대학생",20,https://www.youtube.com/shorts/iTjj0W3s0kU,https://blog.naver.com/sdbuyer/222007264285,지금 사면 뽕 뽑는 무신사 2만원대 반팔티 4가지!,"모블러 남자 크림색 반팔티셔츠,와이드진과 코디했어요",0
